Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,YearsCodedJobPast,DeveloperType,WebDeveloperType,MobileDeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ExCoderReturn,ExCoderNotForMe,ExCoderBalance,ExCoder10Years,ExCoderBelonged,ExCoderSkills,ExCoderWillNotCode,ExCoderActive,PronounceGIF,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,DiversityImportant,AnnoyingUI,FriendsDevelopers,RightWrongWay,UnderstandComputers,SeriousWork,InvestTimeTools,WorkPayCare,KinshipDevelopers,ChallengeMyself,CompetePeers,ChangeWorld,JobSeekingStatus,HoursPerWeek,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobLeaders,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,ImportantBenefits,ClickyKeys,JobProfile,ResumePrompted,LearnedHiring,ImportantHiringAlgorithms,ImportantHiringTechExp,ImportantHiringCommunication,ImportantHiringOpenSource,ImportantHiringPMExp,ImportantHiringCompanies,ImportantHiringTitles,ImportantHiringEducation,ImportantHiringRep,ImportantHiringGettingThingsDone,Currency,Overpaid,TabsSpaces,EducationImportant,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,CousinEducation,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedFramework,WantWorkFramework,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Methodology,VersionControl,CheckInCode,ShipIt,OtherPeoplesCode,ProjectManagement,EnjoyDebugging,InTheZone,DifficultCommunication,CollaborateRemote,MetricAssess,EquipmentSatisfiedMonitors,EquipmentSatisfiedCPU,EquipmentSatisfiedRAM,EquipmentSatisfiedStorage,EquipmentSatisfiedRW,InfluenceInternet,InfluenceWorkstation,InfluenceHardware,InfluenceServers,InfluenceTechStack,InfluenceDeptTech,InfluenceVizTools,InfluenceDatabase,InfluenceCloud,InfluenceConsultants,InfluenceRecruitment,InfluenceCommunication,StackOverflowDescribes,StackOverflowSatisfaction,StackOverflowDevices,StackOverflowFoundAnswer,StackOverflowCopiedCode,StackOverflowJobListing,StackOverflowCompanyPage,StackOverflowJobSearch,StackOverflowNewQuestion,StackOverflowAnswer,StackOverflowMetaChat,StackOverflowAdsRelevant,StackOverflowAdsDistracting,StackOverflowModeration,StackOverflowCommunity,StackOverflowHelpful,StackOverflowBetter,StackOverflowWhatDo,StackOverflowMakeMoney,Gender,HighestEducationParents,Race,SurveyLong,QuestionsInteresting,QuestionsConfusing,InterestedAnswers,Salary,ExpectedSalary
408,Professional developer,"Yes, I contribute to open source projects",New Zealand,No,Employed full-time,Master's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",20 or more years,20 or more years,NA,Web developer,Back-end Web developer,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Disagree,Somewhat agree,Disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Disagree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,LinkedIn,I was just giving it a regular update,I visited the company's Web site and found a job listing there,Somewhat important,Important,Important,Important,Somewhat important,Not very important,Somewhat important,Important,Very important,Important,Australian dollars (A$),NA,Tabs,Somewhat important,Online course; Part-time/evening course; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,Trade book; Stack Overflow Q&A; Stack Overflow Docs; Non-Stack online communities,NA,NA,7:00 AM,C#,C#; R,NA,.NET Core,NA,NA,Microsoft Azure,Arduino; Raspberry Pi; Microsoft Azure,Visual Studio; Visual Studio Code,Keep the room absolutely quiet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat satisfied,Not very satisfied,Somewhat satisfied,Not very satisfied,Not very satisfied,Not at all satisfied,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,Not much influence,I have created a CV or Developer Story on Stack Overflow,8,Desktop,At least once each day,At least once each day,Once or twice,Once or twice,Once or twice,Once or twice,At least once each day,Once or twice,Somewhat agree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Male,A bachelor's degree,White or of European descent,Disagree,Agree,Disagree,Agree,NA,NA
409,Professional developer,"Yes, I program as a hobby",Russian Federation,No,Employed full-time,Professional degree,Mathematics or statistics,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",19 to 20 years,9 to 10 years,NA,Web developer,Full stack Web developer,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Agree,Strongly agree,Strongly agree,Disagree,Agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Disagree,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,"I'm not actively looking, but I am open to new opportunities",NA,Less than a year ago,Not very important,Very important,Important,Important,Somewhat important,Very important,Very important,Important,Somewhat important,Somewhat important,Important,Important,Not very important,Important,Important,Health benefits; Equipment; Professional development sponsorship; Education sponsorship; Remote options,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Russian rubles (?),Somewhat overpaid,Spaces,NA,NA,NA,NA,NA,11:00 AM,C#; Python; SQL,C#; Go; JavaScript,NA,React; .NET Core,SQL Server,Redis; PostgreSQL,Windows Desktop; Arduino,Arduino; Raspberry Pi; Amazon Web Services (AWS),Notepad++; Visual Studio; Visual Studio Code,Turn on some music,Agile; Lean; Scrum; Extreme; Pair; Domain-driven design,Git,Multiple times a day,Somewhat agree,Disagree,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Customer satisfaction; Benchmarked product performance; On time/in budget,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,A lot of influence,Some influence,Some influence,A lot of influence,A lot of influence,Some influence,A lot of influence,Some influence,Not much influence,A lot of influence,Some influence,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",9,Desktop,At least once each day,Several times,Once or twice,Once or twice,Once or twice,Haven't done at all,Once or twice,Haven't done at all,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Male,A professional degree,White or of European descent,Somewhat agree,Agree,Disagree,Strongly agree,25062.656641604,NA
410,Student,"Yes, I program as a hobby",Canada,"Yes, full-time","Not employed, and not looking for work",Some college/university study without earning a bachelor's degree,Computer science or software engineering,NA,NA,NA,3 to 4 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm not actively looking, but I am open to new opportunities",3,Not applicable/ never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,Professional developer,"Yes, I program as a hobby",United States,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",20 or more years,5 to 6 years,NA,Web developer,Full stack Web developer,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm not actively looking, but I am open to new opportunities",1,Less than a year ago,Somewhat important,Important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Important,Somewhat important,Important,Very important,Important,Important,Important,Retirement; Vacation/days off; Health benefits; Equipment; Professional development sponsorship,No,LinkedIn,I was just giving it a regular update,An external recruiter or headhunter,Very important,Important,Important,Somewhat important,Important,Important,Somewhat important,Somewhat important,Not very important,Very important,NA,NA,Spaces,Important,Online course; Self-taught,Official documentation; Trade book; Stack Overflow Q&A; Built-in help,NA,NA,7:00 AM,JavaScript; PHP; SQL,C#; Java; JavaScript; PHP; Python; SQL,NA,NA,SQL Server; MySQL; PostgreSQL,MySQL; PostgreSQL,NA,NA,NA,NA,Agile; Scrum; Kanban,Git,Multiple times a day,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Agree,Disagree,Agree,Customer satisfaction; Benchmarked product performance; On time/in budget,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Some influence,No influence at all,No influence at all,Some influence,Some influence,No influence at all,Not much influence,Not much influence,No influence at all,No influence at all,Some influence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
412,Student,No,Israel,"Yes, full-time","Not employed, but looking for work",Some college/university study without earning a bachelor's degree,Computer science or software engineering,NA,NA,NA,3 to 4 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,LinkedIn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Online course; Industry certification; On-the-job training; Self-taught,Official documentation; Trade book; Stack Overflow Q&A; Stack Overflow Docs; Non-Stack online communities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64690.0269541779
413,Professional developer,"Yes, I program as a hobby",Brazil,No,Employed full-time,Some college/university study without earning a bachelor's degree,Computer science or software engineering,It's complicated,10 to 19 employees,"Sole proprietorship or partnership, not in startup mode",12 to 13 years,9 to 10 years,NA,Web developer,Back-end Web developer,NA,NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Agree,Strongly agree,Disagree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brazilian reais (R$),Neither underpaid nor overpaid,Both,Somewhat important,Online course; On-the-job training; Self-taught; Coding competition,Official documentation; Trade book; Stack Overflow Q&A; Built-in help,NA,NA,2:00 PM,Groovy; PHP,Python,AngularJS,NA,MySQL; Oracle,NA,Serverless; Amazon Web Services (AWS),NA,Sublime Text; PyCharm,Keep the room absolutely quiet,Kanban,Git,Multiple times a day,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Disagree,Disagree,Bugs found; On time/in budget,Satisfied,Very satisfied,Very satisfied,Satisfied,Very satisfied,Satisfied,Some influence,Not much influence,Not much influence,Some influence,Some influence,Some influence,Some influence,Some influence,Some influence,Not much influence,Some influence,I have created a CV or Developer Story on Stack Overflow,9,Desktop,At least once each week,Once or twice,Once or twice,Once or twice,Once or twice,Haven't done at all,Once or twice,Haven't done at all,Somewhat agree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Male,High school,Hispanic or Latino/Latina; White or of European descent,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,15286.6242038217,NA
414,Professional developer,"Yes, I program as a hobby",United States,No,Employed full-time,Master's degree,Computer science or software engineering,It's complicated,I don't know,Publicly-traded corporation,10 to 11 years,4 to 5 years,NA,Desktop applications developer,NA,NA,NA,5,7,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Strongly disagree,Disagree,Somewhat agree,Agree,Disagree,Disagree,Somewhat agree,Agree,Disagree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Important,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waterfall; Lean,I use some other system,A few times a month,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Customer satisfaction; Benchmarked product performance; On time/in budget; Manager's rating; Peers' rating; Self-rating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415,None of these,"Yes, I program as a hobby",Finland,"Yes, full-time","Not employed, but looking for work",Secondary school,NA,NA,NA,NA,10 to 11 years,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Agree,Somewhat agree,Agree,Disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,I am actively looking for a job,1,Between 2 and 4 years ago,Very important,Important,Important,Somewhat important,Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not very important,Important,Important,Somewhat important,Somewhat important,Somewhat important,None of these,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tabs,NA,NA,NA,NA,NA,8:00 AM,C; C#; PHP; SQL,C; C++; C#; PHP,NA,NA,SQL Server; Oracle,Oracle,Linux Desktop; Arduino,Linux Desktop,Atom; Visual Studio,Keep the room absolutely quiet,NA,Git,A few times a week,Disagree,Somewhat agree,Disagree,Agree,Agree,Disagree,Somewhat agree,Customer satisfaction,Satisfied,Somewhat satisfied,Satisfied,Satisfied,Very satisfied,Somewhat satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8,Desktop,Several times,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Disagree,Disagree,Somewhat agree,Agree,Somewhat agree,Agree,Strongly disagree,Male,A bachelor's degree,White or of European descent,Somewhat agree,NA,Disagree,Somewhat agree,NA,NA
416,Professional developer,"Yes, I program as a hobby",Serbia,No,"Not employed, but looking for work",Secondary school,NA,NA,NA,NA,5 to 6 years,1 to 2 years,NA,Web developer; Developer with a statistics or mathematics background; Data scientist; Database administrator; Systems administrator,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I am actively looking for a job,2,Less than a year ago,Very important,Important,Somewhat important,Somewhat important,Not at all important,Very important,Important,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,Student,"Yes, both",Norway,"Yes, full-time","Not employed, but looking for work",Bachelor's degree,Computer science or software engineering,NA,NA,NA,2 to 3 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LinkedIn,NA,NA,Somewhat important,Important,Important,Important,Not very important,Somewhat important,Somewhat important,Not very important,Somewhat important,Somewhat important,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418,Student,"Yes, I program as a hobby",India,"Yes, full-time","Not employed, and not looking for work",Secondary school,NA,NA,NA,NA,8 to 9 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Enunciating each letter: ""gee eye eff""",Agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat agree,Disagree,Strongly disagree,Disagree,Somewhat agree,Somewhat agree,Agree,I am not interested in new job opportunities,NA,Not applicable/ never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annual bonus; Vacation/days off; Professional development sponsorship; Expected work hours; Remote options,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indian rupees (?),NA,Tabs,NA,Online course; Part-time/evening course; Self-taught; Coding competition,Trade book; Stack Overflow Q&A; Non-Stack online communities; Friends network; Built-in help,NA,NA,7:00 AM,Assembly; C; C++; JavaScript; Matlab; Python,C; C++; Go; Haskell; Java; JavaScript; Matlab; Python,Node.js,AngularJS; Node.js; React,MongoDB,MongoDB; SQL Server; MySQL; PostgreSQL; Oracle; SQLite,Android; Arduino,Android; Arduino; Raspberry Pi; Amazon Web Services (AWS),Atom,Keep the room absolutely quiet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat satisfied,Satisfied,Satisfied,Satisfied,Very satisfied,Satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",10,Desktop; Android app,Several times,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Several times,Once or twice,Haven't done at all,Disagree,Strongly disagree,Disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Male,NA,NA,Agree,Somewhat agree,Disagree,Strongly agree,NA,NA
419,Professional developer,"Yes, both",Germany,No,Employed full-time,Secondary school,NA,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",6 to 7 years,3 to 4 years,NA,Web developer; Data scientist; Systems administrator,NA,NA,NA,7,6,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Disagree,Somewhat agree,Disagree,Agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Disagree,Disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,LinkedIn; Other; Xing,I was just giving it a regular update,An external recruiter or headhunter,Somewhat important,Important,Important,Somewhat important,Not very important,Not at all important,Somewhat important,Not at all important,Somewhat important,Somewhat important,Euros (€),Somewhat underpaid,Tabs,Not very important,Online course; Industry certification; Self-taught,Official documentation; Trade book; Stack Overflow Q&A; Stack Overflow Docs; Company internal community; Built-in help,NA,NA,10:00 AM,Java; JavaScript; SQL,JavaScript; SQL,Node.js,Node.js; .NET Core,SQL Server; MySQL,MongoDB,Windows Desktop; Arduino; SharePoint,Windows Desktop; Arduino; Raspberry Pi; SharePoint,Atom; Vim; IntelliJ; Visual Studio,Turn on some music,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not at all satisfied,Very satisfied,Satisfied,Somewhat satisfied,Very satisfied,Not at all satisfied,A lot of influence,Not much influence,Not much influence,Not much influence,Some influence,Not much influence,No influence at all,No influence at all,Not much influence,No influence at all,Some influence,I have created a CV or Developer Story on Stack Overflow,9,Desktop; Android browser; Android app,Several times,Once or twice,Several times,Once or twice,Once or twice,Haven't done at all,Several times,Haven't done at all,Somewhat agree,Somewhat agree,Strongly disagree,Agree,Agree,Strongly agree,Disagree,Disagree,Male,High school,White or of European descent,Agree,Somewhat agree,Disagree,Agree,4e4,NA
420,Professional developer,"Yes, I program as a hobby",Germany,No,Employed full-time,Master's degree,Computer science or software engineering,Never,10 to 19 employees,"Privately-held limited company, not in startup mode",20 or more years,15 to 16 years,NA,Web developer,Full stack Web developer,NA,NA,7,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,I was just giving it a regular update,"A friend, family member, or former colleague told me",Important,Somewhat important,Very important,Somewhat important,Not very important,Not very important,Not very important,Somewhat important,Somewhat important,Important,Euros (€),NA,Both,Very important,Self-taught; Open source contributions,Official documentation; Trade book; Stack Overflow Q&A; Non-Stack online communities; Built-in help,NA,NA,8:00 AM,C#; JavaScript; PHP; SQL,CoffeeScript; Dart; F#; TypeScript,NA,Xamarin; .NET Core,SQL Server; MySQL,NA,Windows Desktop,Microsoft Azure,Emacs; NetBeans; Visual Studio; Visual Studio Code,Turn on some music,NA,Git,A few times a week,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Disagree,Strongly agree,Customer satisfaction; Peers' rating; Self-rating,Very satisfied,Very satisfied,Very satisfied,Not very satisfied,Satisfied,Satisfied,Some influence,Some influence,A lot of influence,Some influence,A lot of influence,Not much influence,A lot of influence,Some influence,No influence at all,Not much influence,Some influence,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",9,Desktop; Android browser; Android app,At least once each day,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Haven't done at all,Somewhat agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Male,High school,White or of European descent,Somewhat agree,Somewhat agree,Disagree,Strongly agree,NA,NA
421,Professional non-developer who sometimes writes code,"Yes, both",Uzbekistan,No,Employed full-time,Bachelor's degree,A humanities discipline,"Less than half the time, but at least one day each week",20 to 99 employees,State-owned company,1 to 2 years,1 to 2 years,NA,NA,NA,NA,Analyst or consultant,2,3,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Agree,Agree,Agree,Disagree,Somewhat agree,Disagree,Disagree,Disagree,Somewhat agree,Agree,Disagree,Somewhat agree,Disagree,Somewhat agree,Agree,Somewhat agree,Agree,"I'm not actively looking, but I am open to new opportunities",10,Between 2 and 4 years ago,Somewhat important,Not very important,Not very important,Somewhat important,Somewhat important,Somewhat important,Important,Somewhat important,Not very important,Not very important,Not very important,Important,Somewhat important,Important,Important,Annual bonus; Vacation/days off; Professional development sponsorship; Education sponsorship; Meals,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tabs,NA,NA,NA,NA,NA,10:00 AM,JavaScript; Python; SQL,JavaScript; Python,Node.js; React,Hadoop; Node.js; React,MySQL; PostgreSQL; SQLite,MongoDB; Redis; SQLite,Linux Desktop,Linux Desktop; Raspberry Pi,Atom; Notepad++; Sublime Text; Vim; PyCharm,Keep the room absolutely quiet,Lean; Extreme,Git,Multiple times a day,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Disagree,NA,Somewhat satisfied,Somewhat satisfied,Not very satisfied,Somewhat satisfied,Not very satisfied,Somewhat satisfied,Some influence,Not much influence,Not much influence,Not much influence,Some influence,No influence at all,Not much influence,Some influence,Some influence,Not much influence,Some influence,I have created a CV or Developer Story on Stack Overflow,9,Desktop,At least once each day,Once or twice,Several times,Once or twice,Several times,Once or twice,Once or twice,Haven't done at all,Somewhat agree,Disagree,Disagree,Agree,Agree,Agree,Somewhat agree,Disagree,Male,A bachelor's degree,I don’t know,Agree,Agree,Disagree,Agree,NA,NA
422,Student,"Yes, I program as a hobby",Poland,No,"Not employed, and not looking for work",Secondary school,NA,NA,NA,NA,8 to 9 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm not actively looking, but I am open to new opportunities",NA,Less than a year ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polish zloty (zl),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1234.56790123457
